id,name,lat,long,nbDocks
1,"River Street , Clerkenwell",51.52916347,-0.109970527,19
2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,37
3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,32
4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,23
5,"Sedding Street, Sloane Square",51.49313,-0.156876,27
6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,18
7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,16
8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,18
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,19
10,"Park Street, Bankside",51.50597426,-0.092754157,18
11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24
12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,49
13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,48
15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,26
16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,22
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,26
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,27
19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,30
21,"Hampstead Road (Cartmel), Euston",51.53007835,-0.13884627,16
22,"Northington Street , Holborn",51.5222641,-0.114079481,19
23,"Red Lion Square, Holborn",51.51943538,-0.119123345,16
24,"British Museum, Bloomsbury",51.51908011,-0.124678402,35
25,"Doric Way , Somers Town",51.5288338,-0.132250369,31
26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,21
27,"Bouverie Street, Temple",51.51382102,-0.107927706,33
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,19
29,"Hereford Road, Bayswater",51.513735,-0.193487,22
30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,24
31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,36
32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,43
33,"Central House, Aldgate",51.5156,-0.070056,18
34,"Pancras Road, King's Cross",51.5341235,-0.129386874,16
36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,28
37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,17
38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,17
39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,41
40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,16
41,"Pindar Street, Liverpool Street",51.520955,-0.083493552,24
42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,28
43,"Crawford Street, Marylebone",51.52026,-0.157183945,18
45,"Boston Place, Marylebone",51.522511,-0.162298,26
46,"Nesham Street, Wapping",51.507131,-0.06691,16
47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,19
48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,25
49,"Curzon Street, Mayfair",51.50706909,-0.145904427,16
50,"East Road, Hoxton",51.52867339,-0.087459376,27
51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,29
52,"Roscoe Street, St. Luke's",51.52295439,-0.094934859,18
53,"Grafton Street, Mayfair",51.5099923,-0.143495266,18
54,"Golden Lane, Barbican",51.52174785,-0.094475072,27
55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,33
56,"Paddington Street, Marylebone",51.52058381,-0.154701411,16
57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,32
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,20
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,18
