id,name,x,y
391,"Clifford Street, Mayfair","529,009.140","180,717.070"
648,"Peterborough Road, Sands End","525,382.430","175,994.830"
137,"Bourne Street, Belgravia","528,303.170","178,497.380"
147,"Portugal Street, Holborn","530,814.860","181,239.610"
20,"Drummond Street , Euston","529,451.500","182,628.280"
277,"Kensington Church Street, Kensington","525,619.170","179,797.090"
406,"Speakers' Corner 2, Hyde Park","527,733.470","180,856.790"
407,"Speakers' Corner 1, Hyde Park","527,733.470","180,856.790"
551,"Montgomery Square, Canary Wharf","537,778.752","180,143.387"
555,"Westfield Eastern Access Road, Shepherd's Bush","523,653.545","180,415.118"
44,"Bruton Street, Mayfair","528,882.670","180,722.190"
304,"Cumberland Gate, Hyde Park","527,634.480","180,844.450"
59,"Rodney Street, Angel","530,892.740","183,113.880"
316,"Cardinal Place, Victoria","529,073.670","179,274.630"
705,"Upper Richmond Road, Putney","524,304.900","174,930.540"
70,"Calshot Street , King's Cross","530,703.800","183,063.650"
461,"Aston Street, Stepney","536,193.000","181,518.000"
725,"Thessaly Road North, Wandsworth Road","529,354.310","177,015.800"
215,"Moorfields, Moorgate","532,735.970","181,748.600"
