dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1464134400,2016-05-25 00:00:00 +0000 UTC,2643743,,,,282.2,279.15,284.15,1020,,,66,3,40,,,,,,,,,32,802,Clouds,scattered clouds,03n
1464138000,2016-05-25 01:00:00 +0000 UTC,2643743,,,,282.08,279.15,284.15,1020,,,62,5,30,,,,,,,,,32,802,Clouds,scattered clouds,03n
1464141600,2016-05-25 02:00:00 +0000 UTC,2643743,,,,282.01,279.15,283.75,1019,,,66,3,20,,,,,,,,,64,803,Clouds,broken clouds,04n
1464145200,2016-05-25 03:00:00 +0000 UTC,2643743,,,,282.05,279.15,283.55,1019,,,61,3,50,,,,,,,,,64,803,Clouds,broken clouds,04n
1464148800,2016-05-25 04:00:00 +0000 UTC,2643743,,,,281.85,280.15,283.25,1018,,,66,3,10,,,,,,,,,64,803,Clouds,broken clouds,04d
1464152400,2016-05-25 05:00:00 +0000 UTC,2643743,,,,281.72,280.15,283.15,1018,,,66,3,20,,,,,,,,,92,300,Drizzle,light intensity drizzle,09d
1464156000,2016-05-25 06:00:00 +0000 UTC,2643743,,,,281.87,280.15,283.15,1018,,,71,4,20,,,,,,,,,75,803,Clouds,broken clouds,04d
1464159600,2016-05-25 07:00:00 +0000 UTC,2643743,,,,282.3,280.15,284.26,1018,,,76,4,30,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464159600,2016-05-25 07:00:00 +0000 UTC,2643743,,,,282.3,280.15,284.26,1018,,,76,4,30,,,,,,,,,75,701,Mist,mist,50d
1464163200,2016-05-25 08:00:00 +0000 UTC,2643743,,,,282.8,280.15,284.26,1018,,,76,4,10,,,,,,,,,75,803,Clouds,broken clouds,04d
1464166800,2016-05-25 09:00:00 +0000 UTC,2643743,,,,282.99,281.15,285.37,1018,,,81,3,350,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464166800,2016-05-25 09:00:00 +0000 UTC,2643743,,,,282.99,281.15,285.37,1018,,,81,3,350,,,,,,,,,75,721,Haze,haze,50d
1464166800,2016-05-25 09:00:00 +0000 UTC,2643743,,,,282.99,281.15,285.37,1018,,,81,3,350,,,,,,,,,75,500,Rain,light rain,10d
1464170400,2016-05-25 10:00:00 +0000 UTC,2643743,,,,283.55,281.15,287.04,1018,,,87,4,20,,,,,,,,,90,310,Drizzle,light intensity drizzle rain,09d
1464170400,2016-05-25 10:00:00 +0000 UTC,2643743,,,,283.55,281.15,287.04,1018,,,87,4,20,,,,,,,,,90,500,Rain,light rain,10d
1464170400,2016-05-25 10:00:00 +0000 UTC,2643743,,,,283.55,281.15,287.04,1018,,,87,4,20,,,,,,,,,90,701,Mist,mist,50d
1464174000,2016-05-25 11:00:00 +0000 UTC,2643743,,,,284.23,282.15,287.59,1017,,,76,3,360,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464174000,2016-05-25 11:00:00 +0000 UTC,2643743,,,,284.23,282.15,287.59,1017,,,76,3,360,,,,,,,,,75,500,Rain,light rain,10d
1464177600,2016-05-25 12:00:00 +0000 UTC,2643743,,,,284.79,282.15,287.59,1017,,,76,3,360,,,,,,,,,75,500,Rain,light rain,10d
1464181200,2016-05-25 13:00:00 +0000 UTC,2643743,,,,285.22,283.15,288.71,1017,,,71,3,20,,,,,,,,,75,500,Rain,light rain,10d
1464184800,2016-05-25 14:00:00 +0000 UTC,2643743,,,,285.33,283.15,288.71,1017,,,71,3,350,,,,,,,,,75,803,Clouds,broken clouds,04d
1464188400,2016-05-25 15:00:00 +0000 UTC,2643743,,,,285.46,284.15,287.59,1016,,,76,3,20,4.06,,,,,,,,75,502,Rain,heavy intensity rain,10d
1464188400,2016-05-25 15:00:00 +0000 UTC,2643743,,,,285.46,284.15,287.59,1016,,,76,3,20,4.06,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464192000,2016-05-25 16:00:00 +0000 UTC,2643743,,,,285.27,283.15,287.59,1016,,,76,3,350,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464195600,2016-05-25 17:00:00 +0000 UTC,2643743,,,,285.1,284.15,286.55,1016,,,81,3,340,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464199200,2016-05-25 18:00:00 +0000 UTC,2643743,,,,284.77,283.15,286.48,1016,,,87,1,0,0.6,,,,,,,,75,500,Rain,light rain,10d
1464199200,2016-05-25 18:00:00 +0000 UTC,2643743,,,,284.77,283.15,286.48,1016,,,87,1,0,0.6,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464202800,2016-05-25 19:00:00 +0000 UTC,2643743,,,,284.51,283.15,285.93,1016,,,76,2,340,,,,,,,,,75,300,Drizzle,light intensity drizzle,09d
1464202800,2016-05-25 19:00:00 +0000 UTC,2643743,,,,284.51,283.15,285.93,1016,,,76,2,340,,,,,,,,,75,500,Rain,light rain,10d
1464206400,2016-05-25 20:00:00 +0000 UTC,2643743,,,,284.16,283.15,285.15,1016,,,76,2,350,,,,,,,,,75,701,Mist,mist,50d
1464210000,2016-05-25 21:00:00 +0000 UTC,2643743,,,,283.77,282.15,285.15,1017,,,76,1,330,,,,,,,,,90,300,Drizzle,light intensity drizzle,09n
1464213600,2016-05-25 22:00:00 +0000 UTC,2643743,,,,283.49,280.85,285.15,1017,,,76,2,340,,,,,,,,,32,300,Drizzle,light intensity drizzle,09n
1464217200,2016-05-25 23:00:00 +0000 UTC,2643743,,,,283.08,279.82,285.15,1016,,,76,2,350,,,,,,,,,12,300,Drizzle,light intensity drizzle,09n
1464220800,2016-05-26 00:00:00 +0000 UTC,2643743,,,,282.78,279.26,285.15,1016,,,76,2,350,,,,,,,,,12,701,Mist,mist,50n
1464224400,2016-05-26 01:00:00 +0000 UTC,2643743,,,,282.2,278.15,284.75,1016,,,81,1,0,,,,,,,,,12,701,Mist,mist,50n
1464228000,2016-05-26 02:00:00 +0000 UTC,2643743,,,,281.78,277.15,284.45,1016,,,81,1,40,,,,,,,,,24,741,Fog,fog,50n
1464231600,2016-05-26 03:00:00 +0000 UTC,2643743,,,,281.64,277.15,284.35,1016,,,100,1,14,,,,,,,,,20,701,Mist,mist,50n
1464231600,2016-05-26 03:00:00 +0000 UTC,2643743,,,,281.64,277.15,284.35,1016,,,100,1,14,,,,,,,,,20,741,Fog,fog,50n
1464235200,2016-05-26 04:00:00 +0000 UTC,2643743,,,,281.21,277.15,284.15,1016,,,81,1,50,,,,,,,,,24,701,Mist,mist,50d
1464235200,2016-05-26 04:00:00 +0000 UTC,2643743,,,,281.21,277.15,284.15,1016,,,81,1,50,,,,,,,,,24,741,Fog,fog,50d
1464238800,2016-05-26 05:00:00 +0000 UTC,2643743,,,,281.09,276.15,283.15,1016,,,87,1,0,,,,,,,,,8,701,Mist,mist,50d
1464238800,2016-05-26 05:00:00 +0000 UTC,2643743,,,,281.09,276.15,283.15,1016,,,87,1,0,,,,,,,,,8,741,Fog,fog,50d
