,dt_iso,temp,humidity,wind_speed,clouds_all
0,2016-05-25 01:00:00,282.2,66,3,32
1,2016-05-25 02:00:00,282.08,62,5,32
2,2016-05-25 03:00:00,282.01,66,3,64
3,2016-05-25 04:00:00,282.05,61,3,64
4,2016-05-25 05:00:00,281.85,66,3,64
5,2016-05-25 06:00:00,281.72,66,3,92
6,2016-05-25 07:00:00,281.87,71,4,75
7,2016-05-25 08:00:00,282.3,76,4,75
9,2016-05-25 09:00:00,282.8,76,4,75
10,2016-05-25 10:00:00,282.99,81,3,75
13,2016-05-25 11:00:00,283.55,87,4,90
16,2016-05-25 12:00:00,284.23,76,3,75
18,2016-05-25 13:00:00,284.79,76,3,75
19,2016-05-25 14:00:00,285.22,71,3,75
20,2016-05-25 15:00:00,285.33,71,3,75
21,2016-05-25 16:00:00,285.46,76,3,75
23,2016-05-25 17:00:00,285.27,76,3,75
24,2016-05-25 18:00:00,285.1,81,3,75
25,2016-05-25 19:00:00,284.77,87,1,75
27,2016-05-25 20:00:00,284.51,76,2,75
29,2016-05-25 21:00:00,284.16,76,2,75
30,2016-05-25 22:00:00,283.77,76,1,90
31,2016-05-25 23:00:00,283.49,76,2,32
32,2016-05-26 00:00:00,283.08,76,2,12
33,2016-05-26 01:00:00,282.78,76,2,12
34,2016-05-26 02:00:00,282.2,81,1,12
35,2016-05-26 03:00:00,281.78,81,1,24
36,2016-05-26 04:00:00,281.64,100,1,20
38,2016-05-26 05:00:00,281.21,81,1,24
40,2016-05-26 06:00:00,281.09,87,1,8
43,2016-05-26 07:00:00,282.06,87,1,75
46,2016-05-26 08:00:00,283.67,93,1,90
49,2016-05-26 09:00:00,285.65,71,1,20
52,2016-05-26 10:00:00,287.14,62,2,40
53,2016-05-26 11:00:00,288.51,58,2,40
54,2016-05-26 12:00:00,289.62,51,1,40
55,2016-05-26 13:00:00,290.87,51,1,20
56,2016-05-26 14:00:00,291.48,48,1,20
57,2016-05-26 15:00:00,291.9,48,2,0
58,2016-05-26 16:00:00,292.59,48,2,40
59,2016-05-26 17:00:00,292.34,48,3,20
60,2016-05-26 18:00:00,292.11,59,6,0
61,2016-05-26 19:00:00,291.53,63,5,0
62,2016-05-26 20:00:00,290.22,67,5,0
63,2016-05-26 21:00:00,288.83,67,5,0
64,2016-05-26 22:00:00,287.18,71,4,0
65,2016-05-26 23:00:00,286.15,76,4,44
66,2016-05-27 00:00:00,285.78,82,4,44
67,2016-05-27 01:00:00,284.8,82,5,44
