,dt_iso,weather_main,temp,humidity,wind_speed
0,2016-10-29 01:00:00,"('Clouds',)",285.698,93,1
2,2016-10-29 02:00:00,"('Clouds',)",285.698,93,1
6,2016-10-29 03:00:00,"('Clouds',)",285.507,97,1
8,2016-10-29 04:00:00,"('Clouds',)",285.507,97,1
10,2016-10-29 05:00:00,"('Rain',)",285.507,97,1
14,2016-10-29 06:00:00,"('Rain',)",285.229,98,1
16,2016-10-29 07:00:00,"('Rain',)",285.229,98,1
18,2016-10-29 08:00:00,"('Rain',)",285.229,98,1
22,2016-10-29 09:00:00,"('Rain',)",286.53,93,1
24,2016-10-29 10:00:00,"('Rain',)",286.53,93,1
26,2016-10-29 11:00:00,"('Clouds',)",286.53,93,1
30,2016-10-29 12:00:00,"('Clouds',)",288.099,80,1
32,2016-10-29 13:00:00,"('Clouds',)",288.099,80,1
34,2016-10-29 14:00:00,"('Clouds',)",288.099,80,1
38,2016-10-29 15:00:00,"('Clouds',)",287.849,76,1
40,2016-10-29 16:00:00,"('Clouds',)",287.849,76,1
42,2016-10-29 17:00:00,"('Clouds',)",287.849,76,1
46,2016-10-29 18:00:00,"('Clouds',)",284.337,94,1
48,2016-10-29 19:00:00,"('Clouds',)",284.337,94,1
50,2016-10-29 20:00:00,"('Clear',)",284.337,94,1
54,2016-10-29 21:00:00,"('Clear',)",282.886,100,1
56,2016-10-29 22:00:00,"('Clear',)",282.886,100,1
58,2016-10-29 23:00:00,"('Clear',)",282.886,100,1
62,2016-10-30 00:00:00,"('Clear',)",279.912,96,1
64,2016-10-30 01:00:00,"('Clear',)",279.912,96,1
66,2016-10-30 02:00:00,"('Clear',)",278.329,94,1
67,2016-10-30 03:00:00,"('Clear',)",278.329,94,1
68,2016-10-30 04:00:00,"('Clear',)",278.329,94,1
69,2016-10-30 05:00:00,"('Clouds',)",278.286,96,1
70,2016-10-30 06:00:00,"('Clouds',)",278.286,96,1
71,2016-10-30 07:00:00,"('Clouds',)",278.286,96,1
72,2016-10-30 08:00:00,"('Rain',)",282.603,100,1
73,2016-10-30 09:00:00,"('Rain',)",282.603,100,1
74,2016-10-30 10:00:00,"('Rain',)",282.603,100,1
75,2016-10-30 11:00:00,"('Clouds',)",285.638,88,1
76,2016-10-30 12:00:00,"('Clouds',)",285.638,88,1
77,2016-10-30 13:00:00,"('Clouds',)",285.638,88,1
78,2016-10-30 14:00:00,"('Clouds',)",287.919,77,1
79,2016-10-30 15:00:00,"('Clouds',)",287.919,77,1
